Name,Website,CareersPage
"Dieffenbacher","http://www.dieffenbacher.com","https://dieffenbacher.com/careers/job-portal"
"Optibelt GmbH","http://www.optibelt.com","https://web.optibelt.com/en/c/karriere/stellenangebote/"
"Ferrostaal GmbH","http://www.ferrostaal.com","https://www.ferrostaal.com/unternehmen/karriere"
"AL-KO Vehicle Technology Group","http://www.alko-tech.com","https://www.alko-tech.com/jobs"
"VITRONIC Machine Vision","http://www.vitronic.com","https://www.vitronic.com/de-de/unternehmen/karriere/offene-stellen"
"Heitkamp & Thumann Group","http://www.ht-group.com","https://ht-group.com/careers/"
"AMAZONEN-WERKE H. DREYER SE & Co. KG","http://www.amazone.net","https://amazone.net/en/career/job-offers"
"Turck","http://www.turck.de","https://turck.wd3.myworkdayjobs.com/de-DE/Turck_Careers"
"HEIDENHAIN","http://www.heidenhain.com",""
"Conductix-Wampfler","http://www.conductix.com",""
"thyssenkrupp Automation Engineering","http://www.thyssenkrupp-automation-engineering.com","https://jobs.thyssenkrupp.com/de?search=%E2%80%9EAutomation%20Engineering%E2%80%9C"
"TAKRAF Group","http://www.takraf.com","https://www.takraf.com/careers/current-job-offers"
"Siempelkamp","http://www.siempelkamp.com","https://www.siempelkamp.com/kontakt/ihre-karriere/"
"SCIO Automation","http://www.scio-automation.com","https://www.scio-automation.com/career#Our-vacancies"
"ZwickRoell","http://www.zwickroell.com","https://career.zwickroell.com/de"
"Mühlbauer Group","http://www.muehlbauer.de","https://www.muehlbauer.de/career/job-offers/"
"Maschinenbau","http://www.bhbwash.com",""
"AUMA Group","http://www.auma.com","https://www.auma.com/de_DE/karriere/karriere-bei-AUMA/stellenangebote"
"HAWE Hydraulik","http://www.hawe.com","https://www.hawe.com/de-de/unternehmen/karriere/hawe-job-finder/"
"Glatt Group","http://www.glatt.com","https://www.glatt.com/the-company/career/#stellenangebote"
"MAPAL Dr. Kress KG","http://www.mapal.com","https://mapal.com/de-de/mapal-karriere"
"BAADER","http://www.baader.com","https://www.baader.com/about/career/open-positions"
"Leybold","http://www.leybold.com","https://www.leybold.com/en/careers"
"Coroplast Group","http://www.coroplast-group.com","https://www.coroplast-group.com/de/karriere/ihre-bewerbung-bei-uns/"
"thyssenkrupp Polysius","http://www.thyssenkrupp-polysius.com","https://www.thyssenkrupp-polysius.com/en/career"
"Wacker Neuson","http://www.wackerneuson.com","https://www.wackerneuson.com/ca/about-us/careers"
"BOMAG GmbH","http://www.bomag.com",""
"wenglor sensoric group","http://www.wenglor.com","https://www.wenglor.com/de/Stellenangebote/s/Stellenangebote?Stellenangebote=%3Afacet-open-country"
"Aalberts surface technologies","http://www.aalberts-st.com","https://jobs.aalberts-st.com/"
"PIA Automation","http://www.piagroup.com","https://www.piagroup.com/karriere/das-bietet-pia/"
"Harro Höfliger","http://www.hoefliger.com","https://hoefliger.com/karriere/stellenangebote"
"STULZ","http://www.stulz.com","https://www.stulz.com/com-career/"
"Schmalz","http://www.schmalz.com",""
"HANSA-FLEX AG","http://www.hansa-flex.de",""
"Grenzebach Group","http://www.grenzebach.com","https://www.grenzebach.com/de/karriere/"
"Automation Network Dresden","http://www.innovation-forum-automation.com",""
"ABI Group","http://www.abi-group.com","https://www.abi-group.com/de/stellenangebote.html"
"WEIMA Maschinenbau GmbH","weima.com","https://weima.com/de/karriere/"
"Roeders - Machines and Automation","roeders.de","https://roeders.de/karriere/offene-stellen/"
"Surplex","surplex.com","https://surplex.jobs.personio.de/?language=de"
"Mack Rides GmbH & Co KG","mack-rides.com",""
"KRÜSS - Advancing your Surface Science","kruss-scientific.com","https://kruss-scientific.com/de-DE/unternehmen/stellenanzeigen"
"Makino Europe GmbH","makino.eu","https://www.makino.eu/en-us/about-us/careers/job-opportunities"
"Amada GmbH","linktr.ee","https://linktr.ee/s/about/careers"
"ENGIE Refrigeration","engie-refrigeration.de","https://jobs.engie.com/search/?createNewAlert=false&q=Refrigeration&locationsearch=&optionsFacetsDD_country=&optionsFacetsDD_department=&optionsFacetsDD_customfield3=&optionsFacetsDD_facility=&optionsFacetsDD_customfield2=&searchResultView=LIST"
"HAVER & BOECKER NIAGARA","haverniagara.com","https://haverniagara.com/oportunidades/"
"TII SCHEUERLE","tii-group.com","https://www.tii-group.com/de/karriere"
"SUMITOMO Cutting Tools EMEA","sumitomotool.com",""
"Achenbach Buschhütten GmbH & Co. KG","achenbach.de",""
"Ziemann Holvrieka","ziemann-holvrieka.com",""
"voxeljet AG","voxeljet.com",""
"Siempelkamp Giesserei GmbH","siempelkamp-giesserei.com","https://karriere.siempelkamp-giesserei.com/jobs/"
"Kern Microtechnik GmbH","kern-microtechnik.com","https://kern-microtechnik.jobs.personio.de/"
"Äager GmbH","aager.de",""
"Safelog","safelog.de","https://www.safelog.de/unternehmen/#jobs"
"PET Technologies","pet-eu.com",""
"KEMPER GmbH","kemper.eu","https://www.kemper.eu/de/unternehmen/stellenangebote"
"KORSCH AG","korsch.com","https://career.korsch.com/en/"
"Laserline GmbH","laserline.com","https://www.laserline.com/en-int/career/"
"JULABO GmbH","julabo.com","https://www.julabo.com/de/karriere/offene-stellen"
"DIOSNA","diosna.com","https://www.diosna.com/career/"
"Theegarten-Pactec GmbH & Co. KG","theegarten-pactec.de","https://www.theegarten-pactec.de/de/karriere/"
"ILLIG packaging solutions GmbH","illig.com","https://www.illig.de/de-de/karriere"
"Plasmatreat","plasmatreat.com","https://jobs.plasmatreat.de/de"
"AMB - International exhibition for metal working.","amb-messe.de",""
"SOLLICH","sollich.com",""
"Lorch Schweißtechnik GmbH","lorch.eu","https://lorch.dvinci-hr.com/de/jobs"
"DANGO & DIENENTHAL","dango-dienenthal.de","https://www.dango-dienenthal.de/karriere/offene-stellen/"
"DUNGS Combustion Controls","dungs.com","https://www.dungs.com/de/karriere/stellenangebote"
"Intensiv-Filter Himenviro","intensiv-filter.com","https://www.intensiv-filter.com/unternehmen/karriere/stellenangebote/"
"HOLZ-HER","holzher.com","https://www.weinig.com/en/weinig-group/current-job-offers.html"
"Bekum Group","bekum.com","https://www.bekum.com/de/jobs/"
"Franz Ziel GmbH","ziel-gmbh.com",""
"toolcraft AG","toolcraft.de",""
"Convotherm","convotherm.com","https://www.convotherm.com/Company/career"
"Leistritz Extrusion Technology","leistritz.com",""
"icotek - smart cable management","icotek.com",""
"HM Isıtma Soğutma Sistemleri","hm-heizkoerper.de",""
"RT-Filtertechnik GmbH","rt-filter.de",""
"Hitec Maschinen GmbH","haas-sueddeutschland.com",""
"Polysoude Deutschland GmbH","polysoude.com","https://www.polysoude.com/about-polysoude/job-opportunities/"
"NUMERIK JENA","numerikjena.de","https://www.numerikjena.de/karriere/stellenangebote/"
"Nuvonic Germany","uvpro.de",""
"Amada Nederland","amada.nl",""
"Maschinen- und Metallbau Claaßen GmbH","claassen-maschinenbau.de","https://www.claassen-maschinenbau.de/karriere/offene-stellen"
"SPECTRO Food Industry","spectro.com","https://jobs.ametek.com/go/Spectro/8889900/"
"IDH Group","idh-gruppe.de","https://www.idh-glauchau.de/de/stellenausschreibungen.html"
"SIAT | D-A-CH","siat.com",""
"PETERS Maschinenbau GmbH & Co. KG","maschinenbau-peters.de","https://maschinenbau-peters.de/karriere/"
"Wöhler Brush Tech GmbH","woehler.com","https://bt.woehler.com/"
"Klima Becker Full Service","klima-becker-fullservice.de","https://klima-becker.de/karriere/stellenboerse/"
"MOHR Postpress","mohr-postpress.com",""
"Technosoft GmbH","technosofteng.com","https://technosofteng.com/careers/"
"DESMA TEC","desma-tec.de",""
"WillachGroup","willach.com","https://willachgroup.jobs.personio.com/"
"BBP Kunststoffwerk Marbach Baier GmbH Kunststoffbau","bbp-online.de","https://www.bbp-online.de/karriere-chancen-bei-bbp/"
"H. Schickling GmbH Maschinenbau","hschickling.de","https://www.hschickling.de/karriere"
"MAFU Robotics","mafu-robotics.de","https://karriere.mafu.de/fach-und-fuehrungskraefte.html"
"MAP Maschinen und Apparatebau Produktions GmbH","map-rathenow.de","https://www.werde-neuenhauser.de/offene-stellen"
"INEX Solutions GmbH","inex-solutions.de","https://inex-solutions.de/unternehmen/karriere"
"bdtronic 比德利","bdtronic.com","https://jobs.bdtronic.de/?__hstc=265859728.bbfb335993d5f8c0bd3de625d7abf02e.1750248377721.1750248377721.1750248377721.1&__hssc=265859728.2.1750248377721&__hsfp=2059316558"
"Arthur Klink GmbH","arthur-klink.de","https://www.arthur-klink.de/human-resources"
"platzmann federn","platzmann.de","https://platzmann.de/#karriere"
"STOLL Frontloader","stoll-germany.com","https://karriere.stoll-germany.com/"
"BÜTER Maschinenfabrik GmbH","meetovo.de","https://www.meetovo.de/awards"
"Josef Kränzle GmbH & Co.KG","kraenzle.com","https://www.kraenzle.com/unternehmen/karriere"
"JPM Deutschland","jpm-group.com",""
"Troester GmbH & Co. KG","troester.de","https://www.troester.de/career/"
"MAKITA Engineering Germany","makita-engineering.de","https://makita-engineering.de/index.php/job"
"Duyvis Wiener Germany","duyviswiener.com","https://www.probat.com/careers/"
"Volz Group","volz.de","https://www.volz.de/de/karriere/stellenangebote/"
"Fahlke Control Systems KG","fahlke.de","https://www.fahlke.de/ueber-fahlke/karriere/"
"STRAUB KG","de.com",""
"VENTUR Deutschland GmbH","venturdeutschland.de",""
"Negele Messtechnik GmbH","anderson-negele.com","https://www.anderson-negele.com/de/karriere/"
"Gienanth Chemnitz Guss GmbH","gienanth.com","https://dihag-gienanth.com/karriere/"
"Wang Ci Lager Bearing Shanghai Co. Ltd.","lfd.eu","https://lfd.eu/karriere.html"
"Weil Technology GmbH","weil-technology.com","https://jobs.weil-technology.com/de"
"Jürgens Holding GmbH","juergens.net","https://www.juergens.net/de/karriere-bei-juergens/ausschreibung/DEIN-DUALES-STUDIUM-BETRIEBSWIRTSCHAFT-M-W-D/"
"EITEC Führungsbahnschutz-Systeme GmbH","eitec.de","https://www.eitec.de/jobs"
"flexfeeder by Afag","afag.com","https://www.emerson.com/en-us/careers"
"MBN Maschinenbaubetriebe Neugersdorf GmbH","mbn-gmbh.de","https://mbn-gmbh.de/jobkarriere/"
"Schüring Landtechnik und Maschinenbau GmbH","schuering-maschinenbau-beesten.de","https://www.schuering-maschinenbau-beesten.de/karriere/stellenangebote"
"Quadrus Metalltechnik GmbH","quadrus.de","https://www.quadrus.de/karriere"
"ALBEA Aluminiumbearbeitung GmbH","albea.net","https://www.albea.net/jobs/"
"COLGED Deutschland - Eurotec S.R.L","colged.de","https://www.colged.de/unternehmen/#karriere"
"Ceratech Group","ceratech-group.com","https://ampack.jobs.personio.de/"
"Glasmanufaktur Brandenburg GmbH","gmb-glas.de","https://gmb-glas.de/karriere-bei-gmb-glasmanufaktur/stellenangebote"
"Vulkan Blast Shot Technology","vulkan-inox.de","https://www.vulkan-inox.de/unternehmen/karriere"
"Schwarte Processing","schwarte-processing.de",""
"Burkhardt-Löffler","burkhardt-loeffler.com","https://burkhardt-loeffler.com/karriere/#stellenangebote"
"Ossenbrüggen Feinmechanik I Systemtechnik","ofwt.de","https://www.ofwt.de/karriere/"
"Weldmont Metalltechnik Kft.","weldmont.de","https://weldmont.de/de/arbeitnehmerueberlassung/arbeitnehmerueberlassung/ausland/schweisser"
"HEICO-LOCK","heico-lock.com",""
"Moretto Deutschland","moretto.com",""
"Rotan GmbH","rotan-gmbh.de",""
"Haller Gruppe","haller-gruppe.de","https://haller-gruppe.de/jobs"
"Ilsemann Carbon,Niederlassung der Heino Ilsemann GmbH","ilsemann-carbon.de",""
"CRON – World-class prepress solutions","cron-europe.com","https://cron-europe.com/vacancies.php"
"HPS Hydraulik Produktions Systeme GmbH","hpsinternational.com",""
"Reiloy Metall GmbH","reiloy.com","https://reifenhauser.com/de/unternehmen/karriere/"
"WAHLTEC GmbH - KOSMEK Deutschland","wahltec.de","https://www.wahltec.de/de/jobs-karriere.html"
"PREFAG Carl Rivoir GmbH & Co. KG","prefag.de",""
"Von Schaewen","von-schaewen.de",""
"Kratschmayer Mietkälte","kratschmayer-mietkaelte.de","https://www.kratschmayer.de/karriere/stellenangebote/"
"Rhein Koester","rhein-koester.com",""
"RECON @August Storm GmbH & Co. KG","a-storm.com","https://www.a-storm.com/stellenangebote-84"
"Messen 2025 (Deutschland) AMF Andreas Maier GmbH & Co. KG","amf.de","https://www.amf.de/de/unternehmen/karriere/stellenangebote.html"
"TMGROUP","tmgroup.de","https://www.tmgroup.de/karriere/jobs/"
"Thüringer Agrartechnik & Maschinenbau GmbH","tamonline.de","https://www.tamonline.de/karriere/"
"Leuze electronic assembly","leuze-electronic-assembly.com","https://leuze-electronic-assembly.com/karriere/#stellen"
"Baisch GmbH","baisch-metall.de","https://baisch-metall.de/karriere/"
"Woodward Aken GmbH","woodward.com","https://www.woodward.com/careers/"
"Thermoscreens Germany","thermoscreens.com","https://thermoscreens.com/careers/"
"Kjellberg Finsterwalde Plasma und Maschinen Gmbh","kjellberg.de","https://jobs.kjellberg.de/stellenangebote.html"
"SEALPAC France SAS","sealpac.com",""
"Brinox Deutschland GmbH","brinox.de","https://www.brinox.si/zaposlitve"
"Dillinger Fabrik Gelochter Bleche GmbH","dfgb.de","https://www.dfgb.de/unternehmen/stellenangebote/vertriebsmitarbeiter"
"Rubber wheeled vehicles","smtscharf.com","https://www.smtscharf.com/karriere/stellenangebote-hamm/"
"Kohl & Sohn Rheinisches Press - und Ziehwerk GmbH","kohl-gruppe-ag.de","https://kohl-gruppe-ag.de/de/karriere"
"RTA Entwicklung GmbH","rothtechnik.eu","https://www.rothtechnik.eu/de/karriere/stellenangebote/"
"Degler GmbH","degler.com","https://www.degler.com/unternehmen/aktuelles-stellenangebote.html"
"Hujer Lasertechnik GmbH","hujer-lasertechnik.de","https://www.hujer-lasertechnik.de/karriere/"
"ELBE Industrietechnik GmbH","elbe-industrietechnik.de","https://karriere.metzen.org/?utm_source=homepage&utm_medium=button"
"Köster GmbH - Karosserie & Lack","autolack-bonn-koester.de","https://koester-bonn.de/karriere"
"TransMIT Center for Mass Spectrometric Developments","smaldi.de",""
"WSH-BAND SAW","ws-hoess.de",""
"Ventilatorenfabrik Oelde GmbH","venti-oelde.de","https://www.venti-oelde.de/karriere/stellenangebote/fachkraft-elektrotechnik-m-w-d"
"ZECK - stringing machines | equipment","zeck-gmbh.com",""
"Lapmaster Wolters GmbH","lapmaster-wolters.de","https://lapmaster-wolters.de/karriere"
"Burgmann Packings","burgmannpackings.com","https://burgmannpackings.com/career"
"Ganter Norm","ganternorm.com","https://www.ganternorm.com/de/unternehmen/karriere/aktuelle-stellenangebote"
"Sturm-Gruppe","sturm-gruppe.com","https://karriere.sturm-gruppe.com/stellenangebote.html"
"Rhein-Nadel Automation GmbH (RNA)","rna.de","https://rna.de/de/unternehmen/karriere/alle-jobs.html"
"Mey Maschinenbau","mey-maschinenbau.de","https://www.mey-maschinenbau.de/karriere"
"Maschinenfabrik Lauffer GmbH & Co. KG","lauffer.de",""
"Wilhelm Bahmüller Maschinenbau Präzisionswerkzeuge GmbH","bahmueller.de","https://www.bahmueller.de/de/unternehmen/karriere/stellenangebote"
"KROENERT GmbH & Co KG","kroenert.de","https://www.kroenert.de/karriere/stellenangebote"
"HORA Holter Regelarmaturen GmbH & Co. KG","hora.de","https://zukunft.hora.de/stellenangebote.html"
"BENZ Tooling","benztooling.com","https://www.benztooling.com/karriere/stellenangebote"
"KRACHT GmbH","kracht.eu","https://www.kracht.eu/karriere/"
"XRAY-LAB","xray-lab.com","https://xray-lab.com/karriereportal-xray-lab/"
"VACOM Vakuum Komponenten & Messtechnik","vacom.net","https://www.vacom.net/de/vacom/karriere/stellenangebote.html"
"Durwen Maschinenbau GmbH","durwen.de",""
"LWB Steinl GmbH & Co. KG","lwb-steinl.com","https://jobs.lwb-steinl.com/ausbildung/"
"MMG - Mecklenburger Metallguss GmbH","mecklenburger-metallguss.com","https://mecklenburger-metallguss.com/unternehmen/karriere"
"AMADA WELD TECH EU","amadaweldtech.eu","https://www.amadaweldtech.eu/open-vacature"
"Maschinenfabrik Köppern GmbH & Co. KG","koeppern-international.com","https://www.koeppern-international.com/karriere/trainee-program/"
"WTO Werkzeug-Einrichtungen GmbH","wto-tools.com","https://www.wto-tools.com/de/karriere/stellenangebote"
"HOLMER Maschinenbau GmbH","holmer-maschinenbau.com","https://www.holmer-maschinenbau.de/karriere"
"Gebrüder Lödige Maschinenbau GmbH","loedige.de","https://karriere.loedige.de/jobs/"
"Reifenhäuser Reicofil","reicofil.com","https://jobs.reifenhauser.com/jobs?"
"Herding Filtertechnik","herding.de",""
"Dickow Pumpen GmbH & Co. KG","dickow.de","https://dickow.de/index.php/de/karriere-neu"
"SEHO Systems GmbH","seho.de","https://www.seho.de/karriere/offene-stellen/"
"Hymmen GmbH Maschinen- und Anlagenbau","hymmen.com","https://www.hymmen.com/de/karriere/"
"LiCON MT GmbH & Co. KG","licon.com","https://www.licon.com/de/karriere/stellenangebote"
